
==================================================
  Node C — Actuator Control (Host Fallback)
==================================================
  Listening: 0.0.0.0:5002
  Debounce: 2 consecutive STOP within 2000ms
  Watchdog: failsafe after 3000ms silence
  *** ACTUATOR: EMERGENCY_STOP *** (seq=15993 conf=0.382) (processing=31.8ms)

  nodeC: recv #15995 cmd=STOP conf=0.382
  nodeC: recv #15997 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=15997 conf=0.386) (processing=30.6ms)

  nodeC: recv #16000 cmd=STOP conf=0.386
  nodeC: recv #16002 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16002 conf=0.386) (processing=30.6ms)

  nodeC: recv #16005 cmd=STOP conf=0.386
  nodeC: recv #16008 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16008 conf=0.382) (processing=30.7ms)

  nodeC: recv #16011 cmd=STOP conf=0.382
  nodeC: recv #16014 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16014 conf=0.377) (processing=0.1ms)


  nodeC: recv #16016 cmd=STOP conf=0.386
  nodeC: recv #16019 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16019 conf=0.386) (processing=31.1ms)

  nodeC: recv #16021 cmd=STOP conf=0.377
  nodeC: recv #16024 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16024 conf=0.382) (processing=30.7ms)

  nodeC: recv #16026 cmd=STOP conf=0.386
  nodeC: recv #16029 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16029 conf=0.371) (processing=30.7ms)

  nodeC: recv #16032 cmd=STOP conf=0.384
  nodeC: recv #16034 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16034 conf=0.386) (processing=31.1ms)

  nodeC: recv #16037 cmd=STOP conf=0.386
  nodeC: recv #16039 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16039 conf=0.377) (processing=0.2ms)


  nodeC: recv #16041 cmd=STOP conf=0.386
  nodeC: recv #16043 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16043 conf=0.371) (processing=30.2ms)

  nodeC: recv #16046 cmd=STOP conf=0.386
  nodeC: recv #16048 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16048 conf=0.382) (processing=0.2ms)


  nodeC: recv #16051 cmd=STOP conf=0.386
  nodeC: recv #16053 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16053 conf=0.371) (processing=31.3ms)

  nodeC: recv #16055 cmd=STOP conf=0.382
  nodeC: recv #16057 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16057 conf=0.382) (processing=31.0ms)

  nodeC: recv #16060 cmd=STOP conf=0.371
  nodeC: recv #16063 cmd=STOP conf=0.377

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16063 conf=0.377) (processing=31.4ms)

  nodeC: recv #16065 cmd=STOP conf=0.386
  nodeC: recv #16067 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16067 conf=0.382) (processing=31.5ms)

  nodeC: recv #16070 cmd=STOP conf=0.384
  nodeC: recv #16073 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16073 conf=0.382) (processing=30.3ms)

  nodeC: recv #16076 cmd=STOP conf=0.386
  nodeC: recv #16081 cmd=STOP conf=0.386
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16081 conf=0.386) (processing=0.1ms)


  nodeC: recv #16083 cmd=STOP conf=0.382
  nodeC: recv #16085 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16085 conf=0.382) (processing=30.1ms)

  nodeC: recv #16087 cmd=STOP conf=0.386
  nodeC: recv #16089 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16089 conf=0.382) (processing=32.3ms)

  nodeC: recv #16091 cmd=STOP conf=0.384
  nodeC: recv #16093 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16093 conf=0.382) (processing=30.7ms)

  nodeC: recv #16096 cmd=STOP conf=0.384
  nodeC: recv #16098 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16098 conf=0.382) (processing=31.1ms)

  nodeC: recv #16101 cmd=STOP conf=0.377
  nodeC: recv #16103 cmd=STOP conf=0.377

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16103 conf=0.377) (processing=29.8ms)

  nodeC: recv #16105 cmd=STOP conf=0.382
  nodeC: recv #16107 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16107 conf=0.386) (processing=31.0ms)

  nodeC: recv #16109 cmd=STOP conf=0.371
  nodeC: recv #16113 cmd=STOP conf=0.377

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16113 conf=0.377) (processing=31.0ms)

  nodeC: recv #16115 cmd=STOP conf=0.377
  nodeC: recv #16117 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16117 conf=0.382) (processing=0.4ms)

  nodeC: recv #16119 cmd=STOP conf=0.382
  nodeC: recv #16121 cmd=STOP conf=0.384
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16121 conf=0.384) (processing=0.1ms)


  nodeC: recv #16124 cmd=STOP conf=0.384
  nodeC: recv #16126 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16126 conf=0.384) (processing=30.4ms)

  nodeC: recv #16128 cmd=STOP conf=0.382
  nodeC: recv #16131 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16131 conf=0.382) (processing=0.1ms)

  nodeC: recv #16135 cmd=STOP conf=0.371
  nodeC: recv #16137 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16137 conf=0.382) (processing=0.1ms)

  nodeC: recv #16139 cmd=STOP conf=0.377
  nodeC: recv #16142 cmd=STOP conf=0.377
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16142 conf=0.377) (processing=0.2ms)


  nodeC: recv #16144 cmd=STOP conf=0.377
  nodeC: recv #16147 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16147 conf=0.382) (processing=31.8ms)

  nodeC: recv #16149 cmd=STOP conf=0.382
  nodeC: recv #16152 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16152 conf=0.386) (processing=0.2ms)

  nodeC: recv #16155 cmd=STOP conf=0.377
  nodeC: recv #16158 cmd=STOP conf=0.386
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16158 conf=0.386) (processing=0.2ms)


  nodeC: recv #16161 cmd=STOP conf=0.386
  nodeC: recv #16164 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16164 conf=0.382) (processing=0.3ms)

  nodeC: recv #16166 cmd=STOP conf=0.386
  nodeC: recv #16169 cmd=STOP conf=0.386

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16169 conf=0.386) (processing=30.2ms)

  nodeC: recv #16172 cmd=STOP conf=0.377
  nodeC: recv #16174 cmd=STOP conf=0.377

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16174 conf=0.377) (processing=0.2ms)

  nodeC: recv #16176 cmd=STOP conf=0.386
  nodeC: recv #16179 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16179 conf=0.371) (processing=30.2ms)

  nodeC: recv #16181 cmd=STOP conf=0.386
  nodeC: recv #16184 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16184 conf=0.382) (processing=31.7ms)

  nodeC: recv #16187 cmd=STOP conf=0.377
  nodeC: recv #16189 cmd=STOP conf=0.382
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16189 conf=0.382) (processing=0.1ms)


  nodeC: recv #16192 cmd=STOP conf=0.382
  nodeC: recv #16195 cmd=STOP conf=0.384

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16195 conf=0.384) (processing=30.6ms)

  nodeC: recv #16198 cmd=STOP conf=0.386
  nodeC: recv #16200 cmd=STOP conf=0.384
  *** ACTUATOR: EMERGENCY_STOP *** (seq=16200 conf=0.384) (processing=0.2ms)


  nodeC: recv #16202 cmd=STOP conf=0.382
  nodeC: recv #16204 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16204 conf=0.371) (processing=32.4ms)

  nodeC: recv #16207 cmd=STOP conf=0.382
  nodeC: recv #16210 cmd=STOP conf=0.382

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16210 conf=0.382) (processing=31.0ms)

  nodeC: recv #16213 cmd=STOP conf=0.386
  nodeC: recv #16215 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16215 conf=0.371) (processing=0.2ms)

  nodeC: recv #16218 cmd=STOP conf=0.382
  nodeC: recv #16221 cmd=STOP conf=0.371

  *** ACTUATOR: EMERGENCY_STOP *** (seq=16221 conf=0.371) (processing=31.1ms)

  nodeC: recv #16224 cmd=STOP conf=0.382
  nodeC: recv #16226 cmd=STOP conf=0.382
